Well,Construct,Leaf,Experiment
A1,P1,1,2
A2,P1,1,2
A3,P1,1,2
A4,P1,2,2
A5,P1,2,2
A6,P1,2,2
A7,P1,3,2
A8,P1,3,2
A9,P1,3,2
A10,P1,4,2
A11,P1,4,2
A12,P1,4,2
B1,P2,1,2
B2,P2,1,2
B3,P2,1,2
B4,P2,2,2
B5,P2,2,2
B6,P2,2,2
B7,P2,3,2
B8,P2,3,2
B9,P2,3,2
B10,P2,4,2
B11,P2,4,2
B12,P2,4,2
C1,,,
C2,,,
C3,,,
C4,,,
C5,,,
C6,,,
C7,,,
C8,,,
C9,,,
C10,P4,4,2
C11,P4,4,2
C12,P4,4,2
D1,P5,1,2
D2,P5,1,2
D3,P5,1,2
D4,P5,2,2
D5,P5,2,2
D6,P5,2,2
D7,P5,3,2
D8,P5,3,2
D9,P5,3,2
D10,P5,4,2
D11,P5,4,2
D12,P5,4,2
E1,P16,1,2
E2,P16,1,2
E3,P16,1,2
E4,P16,2,2
E5,P16,2,2
E6,P16,2,2
E7,P16,3,2
E8,P16,3,2
E9,P16,3,2
E10,P16,4,2
E11,P16,4,2
E12,P16,4,2
F1,P17,1,2
F2,P17,1,2
F3,P17,1,2
F4,P17,2,2
F5,P17,2,2
F6,P17,2,2
F7,P17,3,2
F8,P17,3,2
F9,P17,3,2
F10,P17,4,2
F11,P17,4,2
F12,P17,4,2
G1,,,
G2,,,
G3,,,
G4,P18,2,2
G5,P18,2,2
G6,P18,2,2
G7,P18,3,2
G8,P18,3,2
G9,P18,3,2
G10,P18,4,2
G11,P18,4,2
G12,P18,4,2
H1,P19,1,2
H2,P19,1,2
H3,P19,1,2
H4,,,
H5,,,
H6,,,
H7,P19,3,2
H8,P19,3,2
H9,P19,3,2
H10,P19,4,2
H11,P19,4,2
H12,P19,4,2
